text,label
서울지방 검찰청에 있는 사이버수사대입니다.,1
"다름이 아니고, 저희가 수사 중인에 본인 앞으로 연루된 사건이 있어서 전화 드린 겁니다.",1
혹시 개인적으로 출신 남성분  알고 계십니까?,1
주변에서 이름 들어본 적도 없으십니까,1
저희가 여쭤보는 이유는  저희 수사팀에서 지난주입니다 ,1
서울 마포 지역에서 주범으로 금융사기단을 검거했거든요,1
검거현장에서 대량의 복제 신용카드와 위조 주민등록증와 다수의 대포 통장을 입수했습니다,1
저희가 압수수색 중에 선생님 실명으로 된 통장이 발견되었는데요,1
선생님 실명으로 개설되었기 때문에 전화를 드린거잖아요 ,1
그러니까 저희가 청으로 방문하시라고 안내전화 드린겁니다,1
그래서요 제가 어떻게 하면 되는데요,1
서울지방경찰청 사이버 수사대 지능범죄 수사팀 서현아 담당 수사관입니다.,1
일단 앞으로의 조사 과정은 계속 말씀드렸다시피 녹취 상태로 진행이 될 건데 녹취가 무슨 말인지는 알고 계시죠 본인께서도,1
서울중앙지검이요 계속 말을 끊으시는데 차라리 메모장이나 펜 같은 거 있으시면 좀 기재를 해놓으세요,1
제가 불러드릴 테니까. 네 준비되시면 말씀을 하시고요.,1
네 이제 말씀해 주셔도 돼요. 알겠습니다.,1
서울중앙지검 첨단 범죄 수사 일부,1
일단 다음 주에 법인 관련 재판이 열리거든요,1
네 재판 날 본인께서 직접 출석하시는 건 아니고요,1
본인께서 이 날 대신해서 피의자 입증을 받을 만한 증거 자료를 저희가 만들기 위해서 하게 될 거예요,1
일단 그렇기 때문에 이 녹취 자료에는 제3자의 육성이나 기타 소음 또는 심한 자금이 유입된다면 증거 자료로 채택이 불가능하고요,1
현재 피의자도 피의자도 아닌 중립적인 신분인 조사자 신분이시기 때문에 이 사건에 대해 제3자에게 유포하시거나 있으라 하시면 전혀 안 되시고요,1
"일단 일단 직장 동료분이 옆에 주변에 있을 수도 
비상구나 계단 같은 곳으로 좀 이동을 해 주시고요
이동하실 때 방금 적은 모자고 펜 좀 들고 이동 좀 해주세요",1
다시 연락드리는 게 아니라 녹취 조사 후 이관시켜 드린다고요 ,1
 그럼 꼭 끊어지지 않는 상태로,1
서울중앙지검 다름이 아니라 본인과 연루된 불법 명의 도용 사건이 지금 검찰 측에 접수가 돼서 연락을 드렸고요,1
본인께서 잠시 통화하시면 괜찮으신가요그러시면 제가 몇 가지 사항에 대해서 제가 좀 여쭤보도록 하겠습니다,1
저희 검찰에서 이 금융 검색 상단을 권고하게 됐는데 그 과정에서 대량의 신용카드와 대포통장을 압수하였고요,1
가장 중요한 건 명의로 통장이 발견되어서 연락을 드린 거예요,1
네 본인께서 이 총장 개설 내용에 대해서 알고 계신 부분이 있으시면,1
이 통장을 조사해 봤을 때 통장 개설 날짜,1
지점에서 개설이 되었고 이 통장을 해당 금융감독원과 같이 제시를 해봤을 때 본인 아니신가요,1
본인 명의로 된 통장임을 확인하고 제가 이렇게 여쭤보는 겁니다,1
최근 2 3년 사이에 핸드폰이라든지 지갑 신분증을 분실하시거나 도난 당하신 적 있으신가요,1
네이버 측에 개설된 중고나라 사이트 알고 계시나요,1
은행들이 중고나라 사이트를 통해 고가의 물건을 판매한다고 그 매물만 대량으로 올려놓고 명의,1
네 여기 강남서 사회도 수사과에요,1
네 저희 측에 이제 신고 접수 확인되셔가지고 연락드렸는데 어떤 신고 접수하신 거세요,1
지금 번호 주신 거는 핸드폰 번호가 뜨는데요,1
사이버 수사과 유선 번호를 알려주시겠습니까,1
 저축은행에도 이제 돈을 넣으라는데 부산은행 불러주면서 돈을 넣으라고 ,1
그쪽에서 공문 확인해서 연락드린 건데 그쪽에서 저희 쪽으로도 계좌 안내를 해주셨어요,1
심사 결과 확인돼서 연락드렸고 어떻게 통화 괜찮으신가요,1
처리 되시기 전에 제가 잠깐 보류 건으로 좀 올려놨는데 사유를 정확하게 좀 확인을 해보니까 보면은 기존에 저희 쪽 알아보시기 전에,1
대출을 좀 알아보신 것 같은데 금융사 반복적으로 접수가 되셨다가 조회되신 이력들이 쌓이시면서 신용 등급 자체가 너무 많이 떨어지셨더라고요,1
타 금융사에 서류 돌린다고 해도 대출 자체가 나올 수 있는 상황은 아니더라고요,1
고객님께서 필요한 자금이 있다고 하시면 제가 현재에서 가능한 방향 확인해 보고 연락을 좀 ,1
지금 설명드리는 대출 자체는 저 혼자 이제 단독적으로 진행을 해서 대출 승인 처리를 내드릴 수 있는 부분은 아니고,1
이게 정상적인 방법으로 진행되시는 대출은 아닙니다,1
진행되는 대출이고 고객님 자력으로 안 되는 대출 과정에서 비용이 따로 발생이 되십니다,1
비용 같은 경우에는 고객님은 그래도 다른 분들에 비해서는 그나마 낮은 금액으로 책정이 되셨고요,1
가능하신 대출이라 해서 설명 진행하실 의사가 있다고 하시면 오늘 성금 처리까지 진행해  도움,1
우리 은행 금융센터,1
대출영업 대출 1팀으로 연락을 하셔서 확인해 보시면은 확인이 부분이시고요,1
법무용 납부 증명서 같은 경우는 공문서가 확인이 되셨기 때문에 다른 상담원이 확인이 안 될 수가 있어요,1
지금 저희들이 대환대출 플러스 생활유지 자금 쪽으로 나온 대출 상품이 있어요,1
이자만 갚으셔도 되는,1
검찰청에서는 공공기관에서 본인의 앞으로 계좌번호 비밀번호 개인 정보 같은 거 여쭤보지 않습니다,1
녹취 상태이기 때문에 본인께서도 주의를 해 주시고 절대 얘기하시면 안 되시겠고요,1
실제로 은행하고의 은행 금융권은 거래를 하고 계시니까,1
저희가 조사하는 과정에서 씨 같은 경우에는 일단 동일 전과도 없으시고 일단 신문도 확실해서 저희가 유선상으로 이렇게 연락드린 거예요,1
일단 본인께서 만약에 이 혐의점이 있다고 하시면은요,1
일단 지금 중요한 건 범죄 현장에서 즉시 명의로 되신 우리은행하고의 하나님 통장이 발견되셨다고 제가 말씀드렸는데 일단 이 통장들이 불법 용도로 사용이 되셨거든요,1
 이 통장을 양도한 사실이 없으시면요.,1
간단한 피해자 입증 조사를 받으셔야 되십니다,1
국민장에서는 본인께서는 몇 개의 계좌 어떤 용도로 사용하고 계십니까,1
본인께서 피해자인지 가해자인지 아무런 증거 자료가 없어요,1
저희도 본인을 무턱되고 가해자다 이렇게 판단할 수는 없지 않습니까,1
녹취 증거 자료를 제 1차 공판 때 이 피해자 입증 자료로 본인을 대신해서 법정에 제출해 드릴 거예요,1
개인 정보 유출 사건 때문에 지하 프로미까지 확인차 연락드렸어요,1
저희 수사과에서 얼마 전에 금융 사기 집단을 검거라 했는데요,1
현장에서 대량의 대포통장과 체크카드를 압수하는 과정에서 본인 명의로 된 은행 통장 두 건이나 같이 발견되셔서 전화드렸습니다,1
본인은 수사를  다른 피해자분 앞으로 전화를 해야 되는 상황이기 때문에 협조를 해주세요,1
제 개인 정보를 도용을 해가지고 위조 신분증을 만들어가지고요,1
은행 거기 이제 직원들하고 결탁을 해서 불법 계좌를 개설했습니다,1
인터넷 뱅킹과 문자 전송 없이 본인 명의로 계좌 개설이 가능했던 걸로 지금 파악,1
서울중앙지방검찰청에 첨단범죄수사에 수사관입니다,1
본인 명의로 계좌 개설이 가능했던 걸로 지금 파악이 되고 있습니다,1
유선상으로 1차 녹취 과정을 통해서 김 씨가 명의도용 피해자인지 아니면 계좌로 양도한 건지 조사 차 연락을 드린 거예요,1
서울중앙지검에 수사관입니다,1
신상 정보를 다른 사람이 도용해서 사용하고 있다가 이번에 저희 검찰에 구속이 됐습니다,1
본인이 저 일단 실황 조사 녹취 조사 네 본인이 부담스러웠고 하기 싫으시면은 서울중앙지검으로 출두를 해 주세요,1
조사받으러 어떻게 하면 되나요,1
실황 조사 녹취 조사 본인이 부담스러웠고 하기 싫으시면은 서울중앙지검으로 출두를 해 주세요,1
핸드폰 번호가 떴지만 저희가 이제 kt 통신에서 구해 받은 이 녹취 전용 전화입니다,1
"본인과 저와의 통화 내역이 저희 검찰에서 한 통 갖고 있고, 법원에서 하나 갖고 있고 kt 통신에서 하나씩 갖고 있습니다",1
